k,f,name,E_semi,T_semi,obj_semi,E_active,T_active,obj_active,dE,dT,dObj
1,5,"Instance_100_10_5_0,2_1_20_Rep4",0,1663,1663,680,2479,3159,680,816,1496
1,5,"Instance_100_10_5_0,4_0,2_10_Rep0",5,102110,102115,5964,102283,108247,5959,173,6132
1,5,"Instance_100_10_5_0,4_0,2_10_Rep1",46,84064,84110,8724,83789,92513,8678,-275,8403
1,5,"Instance_100_10_5_0,4_0,2_10_Rep2",933,84067,85000,4969,85534,90503,4036,1467,5503
1,5,"Instance_100_10_5_0,4_0,2_10_Rep3",10,93743,93753,1729,88223,89952,1719,-5520,-3801
1,5,"Instance_100_10_5_0,4_0,2_10_Rep4",45,99670,99715,5618,96074,101692,5573,-3596,1977
1,5,"Instance_100_10_5_0,4_0,2_20_Rep0",0,66922,66922,2467,68843,71310,2467,1921,4388
1,5,"Instance_100_10_5_0,4_0,2_20_Rep1",0,56237,56237,3086,56855,59941,3086,618,3704
1,5,"Instance_100_10_5_0,4_0,2_20_Rep2",28,65235,65263,3609,66321,69930,3581,1086,4667
1,5,"Instance_100_10_5_0,4_0,2_20_Rep3",374,59390,59764,6146,60428,66574,5772,1038,6810
1,5,"Instance_100_10_5_0,4_0,2_20_Rep4",0,59748,59748,5843,58650,64493,5843,-1098,4745
1,5,"Instance_100_10_5_0,4_0,6_10_Rep0",0,57965,57965,619,65421,66040,619,7456,8075
1,5,"Instance_100_10_5_0,4_0,6_10_Rep1",0,52284,52284,701,52235,52936,701,-49,652
1,5,"Instance_100_10_5_0,4_0,6_10_Rep2",0,71879,71879,374,72744,73118,374,865,1239
1,5,"Instance_100_10_5_0,4_0,6_10_Rep3",155,67771,67926,1159,68300,69459,1004,529,1533
1,5,"Instance_100_10_5_0,4_0,6_10_Rep4",0,67137,67137,2002,64417,66419,2002,-2720,-718
1,5,"Instance_100_10_5_0,4_0,6_20_Rep0",0,53909,53909,6841,55128,61969,6841,1219,8060
1,5,"Instance_100_10_5_0,4_0,6_20_Rep1",0,81835,81835,3669,84924,88593,3669,3089,6758
1,5,"Instance_100_10_5_0,4_0,6_20_Rep2",0,79545,79545,483,77895,78378,483,-1650,-1167
1,5,"Instance_100_10_5_0,4_0,6_20_Rep3",0,79513,79513,17,76877,76894,17,-2636,-2619
1,5,"Instance_100_10_5_0,4_0,6_20_Rep4",0,59304,59304,0,58845,58845,0,-459,-459
1,5,"Instance_100_10_5_0,4_1_10_Rep0",0,67154,67154,931,65322,66253,931,-1832,-901
1,5,"Instance_100_10_5_0,4_1_10_Rep1",201,99793,99994,3364,86352,89716,3163,-13441,-10278
1,5,"Instance_100_10_5_0,4_1_10_Rep2",550,86434,86984,1215,86297,87512,665,-137,528
1,5,"Instance_100_10_5_0,4_1_10_Rep3",33,98999,99032,0,101495,101495,-33,2496,2463
1,5,"Instance_100_10_5_0,4_1_10_Rep4",286,77049,77335,754,77514,78268,468,465,933
1,5,"Instance_100_10_5_0,4_1_20_Rep0",24,72986,73010,355,66615,66970,331,-6371,-6040
1,5,"Instance_100_10_5_0,4_1_20_Rep1",0,67658,67658,150,62292,62442,150,-5366,-5216
1,5,"Instance_100_10_5_0,4_1_20_Rep2",0,108401,108401,321,110656,110977,321,2255,2576
1,5,"Instance_100_10_5_0,4_1_20_Rep3",16,94638,94654,183,99320,99503,167,4682,4849
1,5,"Instance_100_10_5_0,4_1_20_Rep4",0,122052,122052,94,120050,120144,94,-2002,-1908
1,5,"Instance_100_10_5_0,6_0,2_10_Rep0",2,189981,189983,1251,196902,198153,1249,6921,8170
1,5,"Instance_100_10_5_0,6_0,2_10_Rep1",0,169419,169419,71,159927,159998,71,-9492,-9421
1,5,"Instance_100_10_5_0,6_0,2_10_Rep2",0,190366,190366,564,182898,183462,564,-7468,-6904
1,5,"Instance_100_10_5_0,6_0,2_10_Rep3",0,202138,202138,312,218647,218959,312,16509,16821
1,5,"Instance_100_10_5_0,6_0,2_10_Rep4",16,196428,196444,164,195508,195672,148,-920,-772
1,5,"Instance_100_10_5_0,6_0,2_20_Rep0",0,188994,188994,40,180740,180780,40,-8254,-8214
1,5,"Instance_100_10_5_0,6_0,2_20_Rep1",0,169074,169074,91,162263,162354,91,-6811,-6720
1,5,"Instance_100_10_5_0,6_0,2_20_Rep2",0,233217,233217,484,229111,229595,484,-4106,-3622
1,5,"Instance_100_10_5_0,6_0,2_20_Rep3",0,147899,147899,36,144874,144910,36,-3025,-2989
1,5,"Instance_100_10_5_0,6_0,2_20_Rep4",0,142703,142703,1236,145514,146750,1236,2811,4047
1,5,"Instance_100_10_5_0,6_0,6_10_Rep0",0,208941,208941,85,201897,201982,85,-7044,-6959
1,5,"Instance_100_10_5_0,6_0,6_10_Rep1",8,201293,201301,109,192995,193104,101,-8298,-8197
1,5,"Instance_100_10_5_0,6_0,6_10_Rep2",0,196733,196733,909,207720,208629,909,10987,11896
1,5,"Instance_100_10_5_0,6_0,6_10_Rep3",0,162616,162616,7546,161888,169434,7546,-728,6818
1,5,"Instance_100_10_5_0,6_0,6_10_Rep4",44,224731,224775,242,220901,221143,198,-3830,-3632
1,5,"Instance_100_10_5_0,6_0,6_20_Rep0",0,195155,195155,336,197533,197869,336,2378,2714
1,5,"Instance_100_10_5_0,6_0,6_20_Rep1",0,237283,237283,1975,232696,234671,1975,-4587,-2612
1,5,"Instance_100_10_5_0,6_0,6_20_Rep2",0,180105,180105,985,171033,172018,985,-9072,-8087
1,5,"Instance_100_10_5_0,6_0,6_20_Rep3",0,191677,191677,0,190671,190671,0,-1006,-1006
1,5,"Instance_100_10_5_0,6_0,6_20_Rep4",0,191040,191040,2136,186127,188263,2136,-4913,-2777
1,5,"Instance_100_10_5_0,6_1_10_Rep0",80,211161,211241,46,211164,211210,-34,3,-31
1,5,"Instance_100_10_5_0,6_1_10_Rep1",0,208855,208855,2064,207699,209763,2064,-1156,908
1,5,"Instance_100_10_5_0,6_1_10_Rep2",0,200104,200104,333,196858,197191,333,-3246,-2913
1,5,"Instance_100_10_5_0,6_1_10_Rep3",0,160421,160421,2698,155763,158461,2698,-4658,-1960
1,5,"Instance_100_10_5_0,6_1_10_Rep4",0,244462,244462,2740,233552,236292,2740,-10910,-8170
1,5,"Instance_100_10_5_0,6_1_20_Rep0",26,193180,193206,1772,189404,191176,1746,-3776,-2030
1,5,"Instance_100_10_5_0,6_1_20_Rep1",0,170771,170771,0,169744,169744,0,-1027,-1027
1,5,"Instance_100_10_5_0,6_1_20_Rep2",0,193828,193828,3858,192820,196678,3858,-1008,2850
1,5,"Instance_100_10_5_0,6_1_20_Rep3",42,186212,186254,1485,168631,170116,1443,-17581,-16138
1,5,"Instance_100_10_5_0,6_1_20_Rep4",84,147646,147730,1170,143157,144327,1086,-4489,-3403
1,5,"Instance_100_5_3_0,2_0,2_10_Rep0",14529,28119,42648,49707,25654,75361,35178,-2465,32713
1,5,"Instance_100_5_3_0,2_0,2_10_Rep1",15572,22721,38293,49428,22335,71763,33856,-386,33470
1,5,"Instance_100_5_3_0,2_0,2_10_Rep2",14671,26154,40825,49015,25839,74854,34344,-315,34029
1,5,"Instance_100_5_3_0,2_0,2_10_Rep3",16429,24261,40690,40891,24468,65359,24462,207,24669
1,5,"Instance_100_5_3_0,2_0,2_10_Rep4",20203,26397,46600,53187,28522,81709,32984,2125,35109
1,5,"Instance_100_5_3_0,2_0,2_20_Rep0",7317,14575,21892,43449,14458,57907,36132,-117,36015
1,5,"Instance_100_5_3_0,2_0,2_20_Rep1",13330,21498,34828,21679,21635,43314,8349,137,8486
